Title,abstract,Processed_Title,Processed_Abstract
Brittle System Analysis,"The goal of this paper is to define and analyze systems which exhibit brittle behavior. This behavior is characterized by a sudden and steep decline in performance as the system approaches the limits of tolerance. This can be due to input parameters which exceed a specified input, or environmental conditions which exceed specified operating boundaries. An analogy is made between brittle commmunication systems in particular and materials science.",brittle system analysis,goal paper define analyze systems exhibit brittle behavior behavior characterized sudden steep decline performance system approaches limits tolerance due input parameters exceed specified input environmental conditions exceed specified operating boundaries analogy made brittle commmunication systems particular materials science
The Unix KISS: A Case Study,"In this paper we show that the initial philosophy used in designing and developing UNIX in early times has been forgotten due to ""fast practices"". We question the leitmotif that microkernels, though being by design adherent to the KISS principle, have a number of context switches higher than their monolithic counterparts, running a test suite and verify the results with standard statistical validation tests. We advocate a wiser distribution of shared libraries by statistically analyzing the weight of each shared object in a typical UNIX system, showing that the majority of shared libraries exist in a common space for no real evidence of need. Finally we examine the UNIX heritage with an historical point of view, noticing how habits swiftly replaced the intents of the original authors, moving the focus from the earliest purpose of is avoiding complications, keeping a system simple to use and maintain.",unix kiss case study,paper show initial philosophy used designing developing unix early times forgotten due fast practices question leitmotif microkernels though design adherent kiss principle number context switches higher monolithic counterparts running test suite verify results standard statistical validation tests advocate wiser distribution shared libraries statistically analyzing weight shared object typical unix system showing majority shared libraries exist common space real evidence need finally examine unix heritage historical point view noticing habits swiftly replaced intents original authors moving focus earliest purpose avoiding complications keeping system simple use maintain
ASC-Hook: fast and transparent system call hook for Arm,"Intercepting system calls is crucial for tools that aim to modify or monitor application behavior. However, existing system call interception tools on the ARM platform still suffer from limitations in terms of performance and completeness. This paper presents an efficient and comprehensive binary rewriting framework, ASC-Hook, specifically designed for intercepting system calls on the ARM platform. ASC-Hook addresses two key challenges on the ARM architecture: the misalignment of the target address caused by directly replacing the SVC instruction with br x8, and the return to the original control flow after system call interception. This is achieved through a hybrid replacement strategy and our specially designed trampoline mechanism. By implementing multiple completeness strategies specifically for system calls, we ensured comprehensive and thorough interception. Experimental results show that ASC-Hook reduces overhead to at least 1/29 of that of existing system call interception tools. We conducted extensive performance evaluations of ASC-Hook, and the average performance loss for system call-intensive applications is 3.7\% .",aschook fast transparent system call hook arm,intercepting system calls crucial tools aim modify monitor application behavior however existing system call interception tools arm platform still suffer limitations terms performance completeness paper presents efficient comprehensive binary rewriting framework aschook specifically designed intercepting system calls arm platform aschook addresses two key challenges arm architecture misalignment target address caused directly replacing svc instruction br x return original control flow system call interception achieved hybrid replacement strategy specially designed trampoline mechanism implementing multiple completeness strategies specifically system calls ensured comprehensive thorough interception experimental results show aschook reduces overhead least existing system call interception tools conducted extensive performance evaluations aschook average performance loss system callintensive applications
Learnings from an Under the Hood Analysis of an Object Storage Node IO   Stack,"Conventional object-stores are built on top of traditional OS storage stack, where I/O requests typically transfers through multiple hefty and redundant layers. The complexity of object management has grown dramatically with the ever increasing requirements of performance, consistency and fault-tolerance from storage subsystems. Simply stated, more number of intermediate layers are encountered in the I/O data path, with each passing layer adding its own syntax and semantics. Thereby increasing the overheads of request processing. In this paper, through comprehensive under-the-hood analysis of an object-storage node, we characterize the impact of object-store (and user-application) workloads on the OS I/O stack and its subsequent rippling effect on the underlying object-storage devices (OSD). We observe that the legacy architecture of the OS based I/O storage stack coupled with complex data management policies leads to a performance mismatch between what an end-storage device is capable of delivering and what it actually delivers in a production environment. Therefore, the gains derived from developing faster storage devices is often nullified. These issues get more pronounced in highly concurrent and multiplexed cloud environments. Owing to the associated issues of object-management and the vulnerabilities of the OS I/O software stacks, we discuss the potential of a new class of storage devices, known as Object-Drives. Samsung Key-Value SSD (KV-SSD) [1] and Seagate Kinetic Drive [2] are classic industrial implementations of object-drives, where host data management functionalities can be offloaded to the storage device. This leads towards the simplification of the over-all storage stack. Based on our analysis, we believe object-drives can alleviate object-stores from highly taxing overheads of data management with 20-38% time-savings over traditional Operating Systems (OS) stack.",learnings hood analysis object storage node io stack,conventional objectstores built top traditional os storage stack io requests typically transfers multiple hefty redundant layers complexity object management grown dramatically ever increasing requirements performance consistency faulttolerance storage subsystems simply stated number intermediate layers encountered io data path passing layer adding syntax semantics thereby increasing overheads request processing paper comprehensive underthehood analysis objectstorage node characterize impact objectstore userapplication workloads os io stack subsequent rippling effect underlying objectstorage devices osd observe legacy architecture os based io storage stack coupled complex data management policies leads performance mismatch endstorage device capable delivering actually delivers production environment therefore gains derived developing faster storage devices often nullified issues get pronounced highly concurrent multiplexed cloud environments owing associated issues objectmanagement vulnerabilities os io software stacks discuss potential new class storage devices known objectdrives samsung keyvalue ssd kvssd seagate kinetic drive classic industrial implementations objectdrives host data management functionalities offloaded storage device leads towards simplification overall storage stack based analysis believe objectdrives alleviate objectstores highly taxing overheads data management timesavings traditional operating systems os stack
An Example of Clifford Algebras Calculations with GiNaC,"This example of Clifford algebras calculations uses GiNaC (http://www.ginac.de/) library, which includes a support for generic Clifford algebra starting from version~1.3.0. Both symbolic and numeric calculation are possible and can be blended with other functions of GiNaC. This calculations was made for the paper math.CV/0410399.   Described features of GiNaC are already available at PyGiNaC (http://sourceforge.net/projects/pyginac/) and due to course should propagate into other software like GNU Octave (http://www.octave.org/), gTybalt (http://www.fis.unipr.it/~stefanw/gtybalt.html), which use GiNaC library as their back-end.",example clifford algebras calculations ginac,example clifford algebras calculations uses ginac httpwwwginacde library includes support generic clifford algebra starting version symbolic numeric calculation possible blended functions ginac calculations made paper mathcv described features ginac already available pyginac httpsourceforgenetprojectspyginac due course propagate software like gnu octave httpwwwoctaveorg gtybalt httpwwwfisunipritstefanwgtybalthtml use ginac library backend
Accelerator-as-a-Service in Public Clouds: An Intra-Host Traffic   Management View for Performance Isolation in the Wild,"I/O devices in public clouds have integrated increasing numbers of hardware accelerators, e.g., AWS Nitro, Azure FPGA and Nvidia BlueField. However, such specialized compute (1) is not explicitly accessible to cloud users with performance guarantee, (2) cannot be leveraged simultaneously by both providers and users, unlike general-purpose compute (e.g., CPUs). Through ten observations, we present that the fundamental difficulty of democratizing accelerators is insufficient performance isolation support. The key obstacles to enforcing accelerator isolation are (1) too many unknown traffic patterns in public clouds and (2) too many possible contention sources in the datapath. In this work, instead of scheduling such complex traffic on-the-fly and augmenting isolation support on each system component, we propose to model traffic as network flows and proactively re-shape the traffic to avoid unpredictable contention. We discuss the implications of our findings on the design of future I/O management stacks and device interfaces.",acceleratorasaservice public clouds intrahost traffic management view performance isolation wild,io devices public clouds integrated increasing numbers hardware accelerators eg aws nitro azure fpga nvidia bluefield however specialized compute explicitly accessible cloud users performance guarantee cannot leveraged simultaneously providers users unlike generalpurpose compute eg cpus ten observations present fundamental difficulty democratizing accelerators insufficient performance isolation support key obstacles enforcing accelerator isolation many unknown traffic patterns public clouds many possible contention sources datapath work instead scheduling complex traffic onthefly augmenting isolation support system component propose model traffic network flows proactively reshape traffic avoid unpredictable contention discuss implications findings design future io management stacks device interfaces
Theory and practice,"The author argues to Silicon Valley that the most important and powerful part of computer science is work that is simultaneously theoretical and practical. He particularly considers the intersection of the theory of algorithms and practical software development. He combines examples from the development of the TeX typesetting system with clever jokes, criticisms, and encouragements.",theory practice,author argues silicon valley important powerful part computer science work simultaneously theoretical practical particularly considers intersection theory algorithms practical software development combines examples development tex typesetting system clever jokes criticisms encouragements
The Revolution Yet to Happen,"All information about physical objects including humans, buildings, processes, and organizations will be online. This trend is both desirable and inevitable. Cyberspace will provide the basis for wonderful new ways to inform, entertain, and educate people. The information and the corresponding systems will streamline commerce, but will also provide new levels of personal service, health care, and automation. The most significant benefit will be a breakthrough in our ability to remotely communicate with one another using all our senses.   The ACM and the transistor were born in 1947. At that time the stored program computer was a revolutionary idea and the transistor was just a curiosity. Both ideas evolved rapidly. By the mid 1960s integrated circuits appeared -- allowing mass fabrication of transistors on silicon substrates. This allowed low-cost mass-produced computers. These technologies enabled extraordinary increases in processing speed and memory coupled with extraordinary price declines.   The only form of processing and memory more easily, cheaply, and rapidly fabricated is the human brain. Peter Cohrane (1996) estimates the brain to have a processing power of around 1000 million-million operations per second, (one Petaops) and a memory of 10 Terabytes. If current trends continue, computers could have these capabilities by 2047. Such computers could be 'on body' personal assistants able to recall everything one reads, hears, and sees.",revolution yet happen,information physical objects including humans buildings processes organizations online trend desirable inevitable cyberspace provide basis wonderful new ways inform entertain educate people information corresponding systems streamline commerce also provide new levels personal service health care automation significant benefit breakthrough ability remotely communicate one another using senses acm transistor born time stored program computer revolutionary idea transistor curiosity ideas evolved rapidly mid integrated circuits appeared allowing mass fabrication transistors silicon substrates allowed lowcost massproduced computers technologies enabled extraordinary increases processing speed memory coupled extraordinary price declines form processing memory easily cheaply rapidly fabricated human brain peter cohrane estimates brain processing power around millionmillion operations per second one petaops memory terabytes current trends continue computers could capabilities computers could body personal assistants able recall everything one reads hears sees
What Next? A Dozen Information-Technology Research Goals,"Charles Babbage's vision of computing has largely been realized. We are on the verge of realizing Vannevar Bush's Memex. But, we are some distance from passing the Turing Test. These three visions and their associated problems have provided long-range research goals for many of us. For example, the scalability problem has motivated me for several decades. This talk defines a set of fundamental research problems that broaden the Babbage, Bush, and Turing visions. They extend Babbage's computational goal to include highly-secure, highly-available, self-programming, self-managing, and self-replicating systems. They extend Bush's Memex vision to include a system that automatically organizes, indexes, digests, evaluates, and summarizes information (as well as a human might). Another group of problems extends Turing's vision of intelligent machines to include prosthetic vision, speech, hearing, and other senses. Each problem is simply stated and each is orthogonal from the others, though they share some common core technologies",next dozen informationtechnology research goals,charles babbages vision computing largely realized verge realizing vannevar bushs memex distance passing turing test three visions associated problems provided longrange research goals many us example scalability problem motivated several decades talk defines set fundamental research problems broaden babbage bush turing visions extend babbages computational goal include highlysecure highlyavailable selfprogramming selfmanaging selfreplicating systems extend bushs memex vision include system automatically organizes indexes digests evaluates summarizes information well human might another group problems extends turings vision intelligent machines include prosthetic vision speech hearing senses problem simply stated orthogonal others though share common core technologies
Questions for a Materialist Philosophy Implying the Equivalence of   Computers and Human Cognition,"Issues related to a materialist philosophy are explored as concerns the implied equivalence of computers running software and human observers. One issue explored concerns the measurement process in quantum mechanics. Another issue explored concerns the nature of experience as revealed by the existence of dreams. Some difficulties stemming from a materialist philosophy as regards these issues are pointed out. For example, a gedankenexperiment involving what has been called ""negative"" observation is discussed that illustrates the difficulty with a materialist assumption in quantum mechanics. Based on an exploration of these difficulties, specifications are outlined briefly that would provide a means to demonstrate the equivalence of of computers running software and human experience given a materialist assumption.",questions materialist philosophy implying equivalence computers human cognition,issues related materialist philosophy explored concerns implied equivalence computers running software human observers one issue explored concerns measurement process quantum mechanics another issue explored concerns nature experience revealed existence dreams difficulties stemming materialist philosophy regards issues pointed example gedankenexperiment involving called negative observation discussed illustrates difficulty materialist assumption quantum mechanics based exploration difficulties specifications outlined briefly would provide means demonstrate equivalence computers running software human experience given materialist assumption
